text,target
fuller would surely have called this gutsy at times exhilarating movie great yarn,1.0
compleja e intelectualmente retadora el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad,1.0
the film makes strong case for the importance the musicians in creating the motown sound,1.0
karmen moves like rhythm itself her lips chanting the beat her long braided hair doing little wipe away the jeweled beads sweat,1.0
gosling provides an amazing performance that dwarfs everything else in the film,1.0
real movie about real people that gives us rare glimpse into culture most us dont know,1.0
tender yet lacerating darkly funny fable,1.0
may be spoofing an easy target those old ##s giant creature features but it acknowledges celebrates their cheesiness as the reason why people get kick out watching them today,1.0
an engaging overview johnsons eccentric career,1.0
in its ragged cheap unassuming way the movie works,1.0
some actors have so much charisma that youd be happy listen them reading the phone book hugh grant sandra bullock are two such likeable actors,1.0
sandra nettelbeck beautifully orchestrates the transformation the chilly neurotic self absorbed martha as her heart begins open,1.0
behind the snow games lovable siberian huskies plus one sheep dog the picture hosts parka wrapped dose heart,1.0
everytime you think undercover brother has run out steam it finds new way surprise amuse,1.0
manages be original even though it rips off many its ideas,1.0
singer composer bryan adams contributes slew songs few potential hits few more simply intrusive the story but the whole package certainly captures the intended er spirit the piece,1.0
youd think by now america would have had enough plucky british eccentrics with hearts gold yet the act is still charming here,1.0
whether or not youre enlightened by any derridas lectures on the other the self derrida is an undeniably fascinating playful fellow,1.0
pleasant enough movie held together by skilled ensemble actors,1.0
this is the best american movie about troubled teens since ####s whatever,1.0
disney has always been hit or miss when bringing beloved kids books the screen tuck everlasting is little both,1.0
just the labor involved in creating the layered richness the imagery in this chiaroscuro madness light is astonishing,1.0
the animated subplot keenly depicts the inner struggles our adolescent heroes insecure uncontrolled intense,1.0
the invincible werner herzog is alive well living in la,1.0
morton is great actress portraying complex character but morvern callar grows less compelling the farther it meanders from its shocking start,1.0
part the charm satin rouge is that it avoids the obvious with humor lightness,1.0
son the bride may be good half hour too long but comes replete with flattering sense mystery quietness,1.0
simmering psychological drama in which the bursts sudden violence are all the more startling for the slow buildup that has preceded them,1.0
taut intelligent psychological drama,1.0
compelling coming age drama about the arduous journey sensitive young girl through series foster homes fierce struggle pull free from her dangerous domineering mothers hold over her,1.0
truly moving experience perfect example how art when done right can help heal clarify comfort,1.0
this delicately observed story deeply felt masterfully stylized is triumph for its maverick director,1.0
at heart the movie is deftly wrought suspense yarn whose richer shadings work as coloring rather than substance,1.0
the appearance treebeard gollums expanded role will either have you loving what youre seeing or rolling your eyes i loved it ! gollums performance is incredible !,1.0
screenplay more ingeniously constructed than memento,1.0
if this movie were book it would be page turner you cant wait see what happens next,1.0
haneke challenges us confront the reality sexual aberration,1.0
absorbing disturbing perhaps more disturbing than originally intended but little clarity would have gone long way,1.0
its the best film the year so far the benchmark against which all other best picture contenders should be measured,1.0
painful watch but viewers willing take chance will be rewarded with two the years most accomplished riveting film performances,1.0
this is startling film that gives you fascinating albeit depressing view iranian rural life close the iraqi border,1.0
an imaginative comedy thriller,1.0
few artsy flourishes aside narc is as gritty as movie gets these days,1.0
while the isle is both preposterous thoroughly misogynistic its vistas are incredibly beautiful look at,1.0
together tok o orchestrate buoyant darkly funny dance death in the process they demonstrate that theres still lot life in hong kong cinema,1.0
director kapur is filmmaker with real flair for epic landscapes adventure this is better film than his earlier english language movie the overpraised elizabeth,1.0
the movie is blast educational energy as bouncy animation catchy songs escort you through the entire ## minutes,1.0
sports movie with action thats exciting on the field story you care about off it,1.0
doug liman the director bourne directs the traffic well gets nice wintry look from his locations absorbs us with the movies spycraft uses damons ability be focused sincere,1.0
the tenderness the piece is still intact,1.0
katz uses archival footage horrifying documents lynchings still photographs charming old reel reel recordings meeropol entertaining his children create his song history but most powerful all is the song itself,1.0
like the films almost anthropologically detailed realization early ##s suburbia its significant without being overstated,1.0
while mcfarlanes animation lifts the film firmly above the level other coming age films its also so jarring that its hard get back into the boys story,1.0
if nothing else this movie introduces promising unusual kind psychological horror,1.0
in normal screen process these bromides would be barely enough sustain an interstitial program on the discovery channel but in imax 3 d the clichés disappear into the vertiginous perspectives opened up by the photography,1.0
writer director burger imaginatively fans the embers dormant national grief curiosity that has calcified into chronic cynicism fear,1.0
roller coaster ride movie,1.0
i enjoyed time favor while i was watching it but i was surprised at how quickly it faded from my memory,1.0
chicago is sophisticated brash sardonic completely joyful in its execution,1.0
steve irwins method is ernest hemmingway at accelerated speed volume,1.0
refreshing korean film about five female high school friends who face an uphill battle when they try take their relationships into deeper waters,1.0
on the surface its lovers on the run crime flick but it has lot in common with piesiewiczs kieslowskis earlier work films like the double life veronique,1.0
the values that have held the enterprise crew together through previous adventures perils do so again courage self sacrifice patience under pressure,1.0
if its possible for sequel outshine the original then sl2 does just that,1.0
romantic comedy that operates by the rules its own self contained universe,1.0
4 friends 2 couples #### miles all the pabst blue ribbon beer they can drink its the ultimate redneck road trip,1.0
the film is often filled with sense pure wonderment excitement not often seen in todays cinema du sarcasm,1.0
it might be tempting regard mr andrew his collaborators as oddballs but mr earnharts quizzical charming movie allows us see them finally as artists,1.0
feel good picture in the best sense the term,1.0
edited shot with syncopated style mimicking the work his subjects pray turns the idea the documentary on its head making it rousing invigorating fun lacking any mtv puffery,1.0
mostly intelligent engrossing psychologically resonant suspenser,1.0
its this memory as identity obviation that gives secret life its intermittent unease reaffirming that long held illusions are indeed reality that erasing them recasts the self,1.0
hip hop has history its metaphor for this love story,1.0
in scope ambition accomplishment children the century takes kurys career whole new level,1.0
this may not have the dramatic gut wrenching impact other holocaust films but its compelling story mainly because the way its told by the people who were there,1.0
between the drama cube ? s personal revelations regarding what the shop means in the big picture iconic characters gambol fluidly through the story with charming results,1.0
gentle compassionate drama about grief healing,1.0
somewhere short tremors on the modern b scene neither as funny nor as clever though an agreeably unpretentious way spend ninety minutes,1.0
digital video documentary about stand up comedians is great glimpse into very different world,1.0
unlike most teen flicks swimming takes its time tell its story casts mostly little known performers in key roles introduces some intriguing ambiguity,1.0
an enthralling playful film that constantly frustrates our desire know the truth about this man while deconstructing the very format the biography in manner that derrida would doubtless give his blessing,1.0
extreme ops exceeds expectations good fun good action good acting good dialogue good pace good cinematography,1.0
you should pay nine bucks for this because you can hear about suffering afghan refugees on the news still be unaffected dramas like this make it human,1.0
thunderous ride at first quiet cadences pure finesse are few far between their shortage dilutes the potency otherwise respectable action still this flick is fun host some truly excellent sequences,1.0
its obviously struck responsive chord with many south koreans should work its magic in other parts the world,1.0
run dont walk see this barbed bracing comedy on the big screen,1.0
classy item by legend who may have nothing left prove but still has the chops drive show how its done,1.0
it is nature against progress in fessendens horror trilogy this theme has proved important him is especially so in the finale,1.0
its not exactly gourmet meal but the fare is fair even coming from the drive thru,1.0
this is what imax was made for strap on pair 3 d goggles shut out the real world take vicarious voyage the last frontier space,1.0
merely as technical logistical feat russian ark marks cinematic milestone,1.0
schweiger is talented terribly charismatic qualities essential both movie stars social anarchists,1.0
its great deal sizzle very little steak but what spectacular sizzle it is ! in this incarnation its fizz is infectious,1.0
an original gem about an obsession with time,1.0
it will delight newcomers the story those who know it from bygone days,1.0
gloriously goofy gory midnight movie stuff,1.0
the film overcomes the regular minefield coming age cliches with potent doses honesty sensitivity,1.0
if your senses havent been dulled by slasher films gorefests if youre connoisseur psychological horror this is your ticket,1.0
its minor comedy that tries balance sweetness with coarseness while it pam nots sad picture the singles scene,1.0
it is intensely personal yet unlike quills deftly shows us the temper the times,1.0
as lo fi as the special effects are the folks who cobbled nemesis together indulge the force humanity over hardware in way that george lucas has long forgotten,1.0
like mike does not win any points for originality it does succeed by following feel good formula with winning style by offering its target audience urban kids some welcome role models optimism,1.0
its hoot half great way for the american people see what candidate is like when hes not giving the same ## cent stump speech,1.0
far from perfect but its heart is in the right place innocent well meaning,1.0
sad superior human comedy played out on the back roads life,1.0
waydowntown is by no means perfect film but its boasts huge charm factor smacks originality,1.0
tim allen is great in his role but never hogs the scenes from his fellow cast as there are plenty laughs good lines for everyone in this comedy,1.0
more load enjoyable conan esque claptrap than the punishing special effects soul assaults the mummy pictures represent,1.0
enormously likable partly because it is aware its own grasp the absurd,1.0
heres british flick gleefully unconcerned with plausibility yet just as determined entertain you,1.0
its an old story but lively script sharp acting partially animated interludes make just kiss seem minty fresh,1.0
must be seen be believed,1.0
ray liotta jason patric do some their best work in their underwritten roles but dont be fooled nobody deserves any prizes here,1.0
everything that has do with yvan charlotte everything that has do with yvans rambunctious jewish sister her non jew husband feels funny true,1.0
sweet home alabama is what it is nice harmless date film,1.0
the years happiest surprise movie that deals with real subject in an always surprising way,1.0
fans behans work irish movies in general will be rewarded by borstal boy,1.0
its mysteries are transparently obvious its too slowly paced be thriller but its worth recommending because two marvelous performances by michael caine brendan fraser,1.0
the film is faithful what one presumes are the books twin premises that we become who we are on the backs our parents but we have no idea who they were at our age that time is fleeting precious commodity no matter how old you are,1.0
stephen earnharts homespun documentary mule skinner blues has nothing but love for its posse trailer park denizens,1.0
solidly seaworthy chiller,1.0
if you can get past the fantastical aspects harsh realities the isle youll get sock you in the eye flick that is visual tour de force story that is unlike any you will likely see anywhere else,1.0
there are as many misses as hits but ultimately it finds humor in the foibles human behavior its welcome return the roots genre that should depend on surprises,1.0
well made thriller with certain level intelligence non reactionary morality,1.0
theres enough science make it count as educational enough beauty make it unforgettable,1.0
remains solid if somewhat heavy handed account the near disaster done up by howard with steady if not very imaginative hand,1.0
makmalbaf follows resolutely realistic path in this uncompromising insight into the harsh existence the kurdish refugees irans borderlands,1.0
for good chunk its running time trapped is an effective claustrophobic thriller,1.0
most crush is clever captivating romantic comedy with welcome pinch tartness,1.0
nair does capture the complexity big family its trials tribulations,1.0
the seaside splendor shallow beautiful people are nice look at while you wait for the story get going,1.0
rare is the urban comedy that even attempts the insight honesty this disarming indie,1.0
ranks among willams best screen work,1.0
engagingly captures the maddening magnetic ebb flow friendship,1.0
an experience so engrossing it is like being buried in new environment,1.0
its traditional moviemaking all the way but its done with lot careful period attention as well as some very welcome wit,1.0
thoroughly enjoyable,1.0
maybe its just because this past year has seen the release some the worst film comedies in decades but honestly analyze that really is not all that bad,1.0
droll well acted character driven comedy with unexpected deposits feeling,1.0
this is simply the most fun youll ever have with documentary !,1.0
very funny movie,1.0
watching hanekes film is aptly enough challenge punishment but watching huppert great actress tearing into landmark role is riveting,1.0
cop story that understands the medium amazingly well,1.0
one the best most understated performances jack nicholsons career,1.0
britney has been delivered the big screen safe sound the way we like our ## year old superstar girls travel on the fame freeway,1.0
those outside show business will enjoy close look at people they dont really want know,1.0
the kind nervous film that will either give you mild headache or exhilarate you,1.0
watching beanie his gang put together his slasher video from spare parts borrowed materials is as much fun as it must have been for them make it,1.0
children may not understand everything that happens im not sure even miyazaki himself does but they will almost certainly be fascinated undoubtedly delighted,1.0
fascinating fun film,1.0
tadpole is sophisticated funny good natured treat slight but pleasure,1.0
this insightful oscar nominated documentary in which children on both sides the ever escalating conflict have their say away from watchful parental eyes gives peace yet another chance,1.0
i admired this work lot,1.0
whether youre moved love it or bored or frustrated by the film youll still feel something,1.0
there are enough moments heartbreaking honesty keep one glued the screen,1.0
my goodness queen latifah has lot offer she seemed have no problem flaunting her natural gifts she must have very strong back,1.0
smart sweet playful romantic comedy,1.0
australian actor director john polson award winning english cinematographer giles nuttgens make terrific effort at disguising the obvious with energy innovation,1.0
without heavy handedness dong provides perspective with his intelligent grasp human foibles contradictions,1.0
solid lump in the throat family entertainment that derives its power by sticking the facts,1.0
as an entertainment the movie keeps you diverted best all it lightens your wallet without leaving sting,1.0
it is interesting fun see goodall her chimpanzees on the bigger than life screen,1.0
it wont bust your gut its not intended its merely blandly cinematic surgical examination what makes joke joke,1.0
somewhat crudely constructed but gripping questing look at person so racked with self loathing he becomes an enemy his own race,1.0
it extends the writings jean genet john rechy the films fassbinder perhaps even the nocturnal works goya,1.0
narc may not get an for originality but it wears its b movie heritage like badge honor,1.0
with the films striking ending one realizes that we have long way go before we fully understand all the sexual permutations involved,1.0
drumline is entertaining for what it does admirable for what it does not do,1.0
at its best early on as it plays the culture clashes between the brothers,1.0
rare beautiful film,1.0
an unabashedly schmaltzy thoroughly enjoyable true story,1.0
thoughtful look at painful incident that made headlines in ####,1.0
you walk out the good girl with mixed emotions disapproval justine combined with tinge understanding for her actions,1.0
tsai ming liang has taken his trademark style refined it crystalline point,1.0
purely propaganda work unabashed hero worship it is nonetheless likely inadvertently timely invaluable implicit reminder the role that u s foreign policy has played in the rise castro,1.0
now trimmed by about ## minutes this lavish three year old production has enough grandeur scale satisfy as grown up escapism,1.0
we get some truly unique character studies cross section americana that hollywood couldnt possibly fictionalize be believed,1.0
though this film can be clumsy its ambitions are equally admirably uncommercial,1.0
daring mesmerizing exceedingly hard forget,1.0
the dangerous lives altar boys take on adolescence feels painfully true,1.0
moores performance impresses almost as much as her work with haynes in ####s safe,1.0
visits spy movie territory like novel you cant put down examines footnote history seldom brought light on the screen keeps you guessing from first frame last,1.0
an absorbing slice depression life that touches nerves rings true,1.0
mr parker has brilliantly updated his source grasped its essence composing sorrowful hilarious tone poem about alienated labor or an absurdist workplace sitcom,1.0
the result is something quite fresh delightful,1.0
all but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure,1.0
despite its many infuriating flaws not the least which is amys self absorbed personality amys os honesty will win you over,1.0
this is one polanskis best films,1.0
day is not great bond movie but it is good bond movie which still makes it much better than your typical bond knock offs,1.0
polished korean political action film is just as good bad as hollywood action epics is this progress ?,1.0
elling portrayed with quiet fastidiousness by per christian ellefsen is truly singular character one whose frailties are only slightly magnified versions the ones that vex nearly everyone,1.0
denis co writer michele petins impeccable screenplay penetrates with rawness that that is both unflinching tantalizing lead provocatuers testud parmentier give superlative performances,1.0
an absorbing trip into the minds motivations people under stress as well as keen unsentimental look at variations on the theme motherhood,1.0
i admired it particularly that unexpected downer an ending,1.0
the passions aroused by the discord between old new cultures are set against the strange stark beauty the mideast desert so lovingly perceptively filmed that you can almost taste the desiccated air,1.0
remarkably accessible affecting,1.0
never mind whether you buy the stuff about barris being cia hit man the kooky yet shadowy vision clooney sustains throughout is daring inventive impressive,1.0
triumph art direction over narrative but what art direction !,1.0
behan himself knew how spin tale one cant help but think hed appreciate this attempt turn his life into art,1.0
jirí hubacs script is gem his characters are engaging intimate the dialogue is realistic greatly moving the scope the silberstein family is large we grow attached their lives full strength warmth vitality,1.0
moores complex important film is also believe it or not immensely entertaining david goliath story thats still very much playing itself out,1.0
the additional storyline is interesting entertaining but it does not have the same magical quality as the beginning the story i like the new footage still love the old stuff,1.0
though mama takes bit too long find its rhythm third act plot development is somewhat melodramatic its ribald humor touching nostalgia are sure please anyone in search jules jim for the new millennium,1.0
you might not buy the ideas but youll definitely want the t shirt,1.0
provides an intriguing window into the imagination hermetic analysis todd solondz,1.0
windtalkers is shapelessly gratifying the kind movie that invites you pick apart its faults even as you have admit that somehow it hit you where you live,1.0
presents an astute appraisal middle american musical torpor the desperate struggle escape it,1.0
just what makes us happy anyway ?,1.0
thoughtful moving piece that faces difficult issues with honesty beauty,1.0
one the greatest romantic comedies the past decade,1.0
you wouldnt call the good girl date movie an anti date movie is more like it but when its good its good horrid,1.0
benefits from strong performance from zhao but its dong jies face you remember at the end,1.0
this is film brimming with detail nuance one that speaks volumes about the ability the human spirit find solace in events that could easily crush it forever,1.0
the director steven shainberg has succeeded by focusing intently on his characters making them quirky individuals rather than figures fun,1.0
it ultimately stands forth as an important chronicle the abuses one latin americas most oppressive regimes,1.0
the movie has soft percolating magic deadpan suspense,1.0
well made often lovely depiction the mysteries friendship,1.0
using his audience as figurative port call dong pulls his even handed ideological ship their dock for unloading before he continues his longer journey still ahead,1.0
understands that generation defines its music as much as the music defines generation,1.0
the transporter is as lively as fun as it is unapologetically dumb,1.0
as witness several greek american weddings but happily victim none i can testify the comparative accuracy ms vardalos memories insights,1.0
has it ever been possible say that williams has truly inhabited character ? it is now,1.0
by presenting an impossible romance in an impossible world pumpkin dares us say why either is impossible which forces us confront whats possible what we might do make it so,1.0
an impressive debut for first time writer director mark romanek especially considering his background is in music video,1.0
an incendiary deeply thought provoking look at one the most peculiar peculiarly venomous bigotries in our increasingly frightening theocracy,1.0
all the performances are top notch once you get through the accents all or nothing becomes an emotional though still positive wrench sit,1.0
its successes are also tempered with elements which prove the direct antithesis what it gets right,1.0
its solid affecting exactly as thought provoking as it should be,1.0
this is such dazzlingly self assured directorial debut that its hard know what praise first,1.0
parker holds true wildes own vision pure comedy with absolutely no meaning no desire be anything but polished sophisticated entertainment that is in love with its own cleverness,1.0
münchs genuine insight makes the films occasional overindulgence forgivable,1.0
thankfully the film which skirts that rapidly deteriorating line between fantasy reality takes tongue in cheek attitude even as it pushes the croc hunter agenda,1.0
ultimately the message trouble every day seems be that all sexual desire disrupts lifes stasis,1.0
if youre like me sucker for good old fashion romance someone who shamelessly loves eat then mostly martha offers all the perfect ingredients more than satisfy your appetite,1.0
the film has just enough everything re enactments archival footage talking head interviews the music is simply sublime,1.0
there are few stabs at absurdist comedy but mostly the humor is the sweet gentle occasionally cloying kind that has become an iranian specialty,1.0
wonderful character based comedy,1.0
it would be interesting hear from the other side but in talk her the women are down for the count,1.0
an endearingly offbeat romantic comedy with great meet cute gimmick,1.0
the unique tug war with viewer expectations is undeniable if not pleasure in its own right,1.0
it uses an old time formula its not terribly original its rather messy but you just have love the big dumb happy movie my big fat greek wedding,1.0
its almost impossible not be moved by the movies depiction sacrifice its stirring epilogue in post soviet russia,1.0
who knows what exactly godard is on about in this film but his words images dont have add up mesmerize you,1.0
the tone is balanced reflective reasonable,1.0
the principals in this cast are all fine but bishop stevenson are standouts,1.0
it could change america not only because it is full necessary discussion points but because it is so accessible that it makes complex politics understandable viewers looking for nothing but energetic entertainment,1.0
whats most striking about this largely celebratory film is the sense isolation that permeates these bastions individuality in an ikea world,1.0
if youre in mind set for goofy comedy the troopers will entertain with their gross outs bawdy comedy head games,1.0
somewhat blurred but kinnears performance is razor sharp,1.0
as director mr ratliff wisely rejects the temptation make fun his subjects,1.0
for anyone who remembers the ##s or is interested in one mans response stroke ram dass fierce grace is worth seeking out,1.0
intriguing beautiful film but those you who read the book are likely be disappointed,1.0
the new guy does have heart now if it only had brain,1.0
savvy exploration paranoia insecurity in americas culture fear,1.0
legendary irish writer brendan behans memoir borstal boy has been given loving screen transferral,1.0
the films greatest asset is how much its not just another connect the dots spy on the run picture,1.0
this clever caper movie has twists worthy david mamet is enormous fun for thinking audiences,1.0
its one the saddest films i have ever seen that still manages be uplifting but not overly sentimental,1.0
morton is as usual brilliant,1.0
even with all those rough edges safely sanded down the american insomnia is still pretty darned good,1.0
i dont know precisely what make steven soderberghs full frontal though that did not stop me from enjoying much it,1.0
the tug war that ensues is as much snapshot modern china in microcosm as it is crash course in movie mythology,1.0
nearly surreal dabbling in french this is no simple movie youll be taking risk if you choose see it i enjoyed the ride bumps all creamy depth ultimate theme,1.0
you could say that its slow at times you could say that few the characters act in ways that real people wouldnt but one thing you couldnt say is that alias betty is predictable,1.0
asia authors herself as anna battista an italian superstar aspiring directress who just happens be her own worst enemy,1.0
roman coppola may never become the filmmaker his dad was but heck few filmmakers will but based on cq ill certainly be keeping an eye out for his next project,1.0
an amusing breezily apolitical documentary about life on the campaign trail,1.0
high on melodrama but its emotionally engrossing too thanks strong credible performances from the whole cast,1.0
finally genre movie that delivers in couple genres no less,1.0
its not so much enjoyable watch as it is enlightening listen new sides previous reality visit with some the people who were able make an impact in the theater world,1.0
spielberg is the rare director who does not want invite viewers gawk at or applaud his special effects he just wants them be part the action the wallpaper his chosen reality here thankfully they are,1.0
post 9 ## the philosophical message personal freedom first might not be as palatable as intended,1.0
hu liu offer natural matter fact performances that glint with sorrow longing love,1.0
this bold lyrical first feature from raja amari expands the pat notion that middle aged women just wanna have fun into rousing treatise sensual empowerment,1.0
easier respect than enthuse over anderssons rigorous personal vision is not only distanced but distancing,1.0
girls gone wild gone civil again,1.0
tunney is allowed build an uncommonly human character an almost real live girl complete with trouble hope,1.0
while this film is not in the least surprising it is still ultimately very satisfying think it as sort comfort food for the mind,1.0
clever brutal strangely soulful movie,1.0
always remains movingly genuine,1.0
an intelligent fiction about learning through cultural clash,1.0
will grab your children by the imagination amaze them amuse them,1.0
remarkable ### minute meditation on the nature revolution,1.0
those who would follow haneke on his creepy explorations are rewarded by brutal committed performances from huppert magimel,1.0
an involving true story chinese actor who takes up drugs winds up in an institution acted mostly by the actual people involved,1.0
hands down the years most thought provoking film but it pays price for its intricate intellectual gamesmanship,1.0
its terrific american sports movie dennis quaid is its athletic heart,1.0
this is such high energy movie where the drumming the marching are so excellent who cares if the storys little weak,1.0
compelling revenge thriller though somewhat weakened by miscast leading lady,1.0
its amazingly perceptive in its subtle supportive but unsentimental look at the marks family,1.0
whole lot foul freaky funny,1.0
family fare,1.0
attal mixes comedy with serious exploration ego jealousy within seemingly serene marriage,1.0
the diversity the artists represented both in terms style ethnicity prevents the proceedings from feeling repetitious as does the appropriately brief ## minute running time,1.0
the pianist is fine valedictory work for polanski made richer by his own experiences making his other movies somehow richer in the bargain,1.0
foster nails the role giving tight focused performance illuminated by shards feeling,1.0
even if you cant pronounce gyro correctly youll appreciate much vardalos humor which transcends ethnic boundaries,1.0
is office work really as alienating as bartleby so effectively makes it ?,1.0
farrell thankfully manages outshine the role successfully plays the foil williss world weary colonel,1.0
audiences conditioned getting weepy over saucer eyed downy cheeked moppets their empathetic caretakers will probably feel emotionally cheated by the films tart sugar free wit,1.0
bennetts dramatization her personal descent into post breakup perdition has morbid appeal thats tough shake,1.0
an intriguing entertaining introduction johnson,1.0
as expected sayles smart wordplay clever plot contrivances are as sharp as ever though they may be overshadowed by some strong performances,1.0
model what films like this should be like,1.0
as weber weissman demonstrate with such insight celebratory verve the cockettes werent as much about gender sexual preference or political agitprop as they were simply triumph the indomitable human will rebel connect create,1.0
yeah these flicks are just that damn good is not it great ?,1.0
an unbelievably fun film just leading man away from perfection,1.0
over the top bit ostentatious this is movie thats got oodles style substance,1.0
poignant powerful narrative that reveals that reading writing arithmetic are not the only subjects learn in life,1.0
nicely serves as an examination society in transition,1.0
boisterous heartfelt comedy,1.0
tender touching drama based on the true story troubled african americans quest come terms with his origins reveals the yearning we all have in our hearts for acceptance within the family circle,1.0
as randy film about sexy people in gorgeous places being pushed pulled literally figuratively by desire sex lucía makes for an arousing good time,1.0
absorbing character study by andré turpin,1.0
celebrated at sundance this slight comedy manners has winning performances glossy glib charm thats hard beat,1.0
renners performance as dahmer is unforgettable deeply absorbing,1.0
if no one singles out any these performances as award worthy its only because we would expect nothing less from this bunch,1.0
if you love reading or poetry then by all means check it out youll probably love it,1.0
though particular interest students enthusiast international dance world music the film is designed make viewers all ages cultural backgrounds rhythmic ability want get up dance,1.0
energetic boldly provocative,1.0
star wars is back in major way,1.0
its movie an album you wont want miss,1.0
its rare find film that dazzles the eye challenges the brain satisfies our lust for fast paced action but minority report delivers all that whole lot more,1.0
while not all transitions adulthood are so fraught theres much truth no small amount poetry in girls cant swim,1.0
if theres nothing fresh about wannabes which was written by mr demeo who produced directed the film with charles addessi much the time the movie feels authentic,1.0
jacquots tosca is treat,1.0
by the end no such thing the audience like beatrice has watchful affection for the monster,1.0
if you liked such movies as notting hill four weddings funeral bridget jones diary or high fidelity then you wont want miss about boy,1.0
the gentle melding drama comedy makes what time is it there ? something the true film buff will enjoy,1.0
romanek keeps the film constantly taut reflecting the characters instability with metaphorical visual style an unnerving heartbeat like score,1.0
i whole heartedly recommend that everyone see this movie for its historical significance alone,1.0
hey who else needs shower ?,1.0
longley has constructed remarkably coherent horrifically vivid snapshot those turbulent days,1.0
although it bangs very cliched drum at times this crowd pleasers fresh dialogue energetic music good natured spunk are often infectious,1.0
often gruelling heartbreaking witness but seldahl wollters sterling performances raise this far above the level the usual maudlin disease movie,1.0
go see it enjoy,1.0
the stunning dreamlike visuals will impress even those viewers who have little patience for euro film pretension,1.0
george clooney proves hes quite talented director sam rockwell shows us hes world class actor with confessions dangerous mind,1.0
theres vastness implied in metropolis that is just breathtaking,1.0
murderous maids may well be the most comprehensive these films also strike closest the truth,1.0
the people in dogtown z boys are so funny aggressive alive you have watch them because you cant wait see what they do next,1.0
as green guts monster movies go its beaut,1.0
as bundy michael reilly burke octopus 2 river fear has just the right amount charisma menace,1.0
deceivingly simple film one that grows in power in retrospect,1.0
ana is vivid vibrant individual the movies focus upon her makes it successful accessible,1.0
slick skillful little horror film,1.0
very witty take on change risk romance the film uses humor make its points about acceptance growth,1.0
anderson uses hit or miss aesthetic that hits often enough keep the film entertaining even if none it makes lick sense,1.0
bubba ho tep is wonderful film with bravura lead performance by bruce campbell that does not deserve leave the building until everyone is aware it,1.0
despite the long running time the pace never feels slack theres no scene that screams bathroom break !,1.0
bullock does good job here working against her natural likability,1.0
film precious increments artfully camouflaged as everyday activities,1.0
kinnear gives tremendous performance,1.0
the best movie its kind since brazil lucas take notes this is how you use special effects,1.0
