text,target
barry convinces us hes dangerous secretly unhinged guy who could easily have killed president because it made him feel powerful,1.0
distant even sterile yet compulsively watchable look at the sordid life hogans heroes star bob crane,1.0
theres no disguising this as one the worst films the summer or for the year for that matter,1.0
director dan verete uses his camera as the metaphoric needle his cast in each segment as his thread form sweeping tapestry mis explanation contention,1.0
waydowntown just like most large cities is not somewhere youll want spend the rest your life but it sure is fun place visit for while,1.0
the acting in pauline paulette is good all round but what really sets the film apart is debrauwers refusal push the easy emotional buttons,1.0
the only young people who possibly will enjoy it are infants who might be distracted by the movies quick movements sounds,1.0
theres lots cool stuff packed into espns ultimate x,1.0
it gets old quickly watch barbershop again if youre in need cube fix this is not worth sitting through,1.0
harland williams is so funny in drag he should consider permanent sex reassignment,1.0
the films images give backbone the company provide an emotional edge its ultimate demise,1.0
its the kind film where the villain even gives an evil look for his passport photo how can you resist that,1.0
plotless collection moronic stunts is by far the worst movie the year,1.0
broad melodramatic estrogen opera thats pretty toxic in its own right,1.0
just kiss wants desperately come off as fanciful film about the typical problems average people but it is set in world that is very very far from the one most us inhabit,1.0
this is movie where the most notable observation is how long youve been sitting still,1.0
with romantic comedy plotline straight from the ages this cinderella story does not have single surprise up its sleeve but it does somehow manage get you under its spell,1.0
charming trifle welcome return jocular form,1.0
its not difficult spot the culprit early on in this predictable thriller,1.0
without the dark spookiness crystal lake camp the horror concept completely loses its creepy menace,1.0
theres suspension disbelief then theres bad screenwriting this film packs wallop the latter,1.0
little more than stylish exercise in revisionism whose point is no doubt true but serves as rather thin moral such knowing fable,1.0
anyone who can count five the films target market can see where this dumbed down concoction is going,1.0
every defiantly over the top action scene from high stakes car chases fearsome drug busts seizes your adrenal gland milks it like an epileptic farmer,1.0
kosminsky puts enough salt into the wounds the tortured self conscious material make it sting,1.0
sobering powerful documentary about the most severe kind personal loss rejection by ones mother,1.0
if the story lacks bite the performances are never less than affectionate,1.0
deftly entertaining film smartly played smartly directed,1.0
ice age is the first computer generated feature cartoon feel like other movies that makes for some glacial pacing early on,1.0
i like my christmas movies with more elves snow less pimps hos,1.0
ferraras strongest most touching movie recent years,1.0
skip work see it at the first opportunity,1.0
both the film nachtweys photos hammer home the grim reality the worlds gutters battlefields will make you question what news really is,1.0
so relentlessly wholesome it made me want swipe something,1.0
shyamalan offers copious hints along the way myriad signs if you will that beneath the familiar funny surface is far bigger far more meaningful story than one in which little green men come earth for harvesting purposes,1.0
that alabama manages be pleasant in spite its predictability occasional slowness is due primarily the perkiness witherspoon who is always joy watch even when her material is not first rate,1.0
against all odds in heaven hell it creeped me out just fine,1.0
nicely combines the enigmatic features memento with the hallucinatory drug culture requiem for dream,1.0
it is film that will have people walking out halfway through will encourage others stand up applaud will undoubtedly leave both camps engaged in ferocious debate for years come,1.0
japans premier stylist sex blood hits audiences with what may be his most demented film date,1.0
the work filmmaker who has secrets buried at the heart his story knows how take time revealing them strange occurrences build in the mind the viewer take on extreme urgency,1.0
in the spirit voltaire molière on guard volleys great wit deadly gestures in milieu lush apparel landscapes captivating music ##th century lacy sleeves,1.0
while holm is terrific as both men hjejle quite appealing the film fails make the most out the intriguing premise,1.0
while hollywood ending has its share belly laughs including knockout closing line the movie winds up feeling like great missed opportunity,1.0
ultimately in the history the academy people may be wondering what all that jazz was about chicago in #### zellwegers whiny pouty lipped poof faced spindly attempt at playing an ingenue makes her nomination as best actress even more an,1.0
es divertida visualmente espectacular y muy entretenida simple y sencillamente te sorprenderá,1.0
not since japanese filmmaker akira kurosawas ran have the savagery combat the specter death been visualized with such operatic grandeur,1.0
the video work is so grainy rough so dependent on being naturalistic rather than carefully lit set up that its exhausting watch,1.0
the screenplay comes across rather unintentionally as hip hop scooby doo,1.0
the next big things not so big not so hot directorial debut,1.0
the cumulative effect the movie is repulsive depressing,1.0
judging from the strength this superbly enigmatic film oliveira himself seems far from ready go home,1.0
passionate irrational long suffering but cruel as tarantula helga figures prominently in this movie helps keep the proceedings as funny for grown ups as for rugrats,1.0
christians sensitive reductionist view their lord as luv spreading dr feelgood or omnipotent slacker will feel vastly more affronted than secularists who might even praise god for delivering such an instant camp classic,1.0
aloof lacks any real raw emotion which is fatal for film that relies on personal relationships,1.0
if festival in cannes nails hard boiled hollywood argot with bracingly nasty accuracy much about the film including some its casting is frustratingly unconvincing,1.0
the movie is pretty funny now then without in any way demeaning its subjects,1.0
its frightful vanity film that no doubt pays off what debt miramax felt they owed benigni,1.0
when your subject is illusion versus reality should not the reality seem at least passably real,1.0
confusion is one my least favorite emotions especially when i have put up with ### minutes it,1.0
sitting in the third row the imax cinema at sydneys darling harbour but i sometimes felt as though i was in the tiny two seater plane that carried the giant camera around australia sweeping gliding banking hovering over some the most not,1.0
may be far from the best the series but its assured wonderfully respectful its past thrilling enough make it abundantly clear that this movie phenomenon has once again reinvented itself for new generation,1.0
the result reverberates on the screen with deadly force fury more intense than anything mr scorsese has yet achieved on the meanest most beloved streets he could imagine or recall,1.0
it has charm spare unlike many romantic comedies it does not alienate either gender in the audience,1.0
the leaping story line shaped by director peter kosminsky into sharp slivers cutting impressions shows all the signs rich detail condensed into few evocative images striking character traits,1.0
its too interested in jerking off in all its byzantine incarnations bother pleasuring its audience,1.0
for rapsploitation film target frown upon the darker forces its nature is certainly good sign for the maturation the genre,1.0
movie that does not aim too high but does not need,1.0
the kind movie that seduces you into becoming putty in its manipulative card sharking hands making you enjoy being taken in by its shameless contrivance,1.0
an erotic thriller thats neither too erotic nor very thrilling either,1.0
the best part about gangs was daniel day lewis,1.0
the work an artist tormented by his heritage using his storytelling ability honor the many faceless victims,1.0
rarely has skin looked as beautiful desirable even delectable as it does in trouble every day,1.0
the disjointed mess flows as naturally as jolies hideous yellow do,1.0
the plan make enough into ‘an inspiring tale survival wrapped in the heart pounding suspense stylish psychological thriller has flopped as surely as soufflé gone wrong,1.0
the movie is our story as much as it is schmidts no matter if its viewed as self reflection or cautionary tale,1.0
raunchy though chos material is it embraces all comers regardless gender sexuality race or ethnicity its never been sharper or funnier than it is here,1.0
fans behans work irish movies in general will be rewarded by borstal boy,1.0
miller is playing so free with emotions the fact that children are hostages fortune that he makes the audience hostage his swaggering affectation seriousness,1.0
this is an exercise not in biography but in hero worship,1.0
has its moments but ultimately its curmudgeon does not quite make the cut being placed on any list favorites,1.0
human nature talks the talk but it fails walk the silly walk that distinguishes the merely quirky from the surreal,1.0
anchored by friel williamss exceptional performances the films power lies in its complexity nothing is black white,1.0
the writers director wally wolodarsky all the actors should start their own coeducational fraternity kappa rho alpha phi,1.0
like its title character this nicholas nickleby finds itself in reduced circumstances also like its hero it remains brightly optimistic coming through in the end,1.0
it has more than few moments that are insightful enough be fondly remembered in the endlessly challenging maze moviegoing,1.0
what one is left with even after the most awful acts are committed is an overwhelming sadness that feels as if it has made its way into your very bloodstream,1.0
competent unpretentious entertainment destined fill the after school slot at shopping mall theaters across the country,1.0
louiso lets the movie dawdle in classic disaffected indie film mode brother hoffmans script stumbles over late inning twist that just does not make sense,1.0
an unsatisfying hybrid blair witch typical stalk slash fare where the most conservative protagonist is always the last one living,1.0
we have poignancy jostling against farce thoughtful dialogue elbowed aside by one liners visual style that incorporates rotoscope animation for no apparent reason except maybe that it looks neat,1.0
as it turns out you can go home again,1.0
using his audience as figurative port call dong pulls his even handed ideological ship their dock for unloading before he continues his longer journey still ahead,1.0
in the era the sopranos it feels painfully redundant inauthentic,1.0
instead trying bust some blondes diggs should be probing why guy with his talent ended up in movie this bad,1.0
the movie fails portray its literarily talented notorious subject as anything much more than dirty old man,1.0
even if the world does not see things the way michael moore does his questions are worth asking … bowling for columbine benefits from his iconoclastic zeal,1.0
the only thing i laughed at were the people who paid see it,1.0
scott delivers terrific performance in this fascinating portrait modern lothario,1.0
about amys cuteness amys career success shes best selling writer self help books who cant help herself amys neuroses when it comes men,1.0
automatically pegs itself for the straight video sci fi rental shelf,1.0
part the films cheeky charm comes from its vintage schmaltz,1.0
very funny look at how another culture handles the process courting marriage,1.0
one the best cat mouse movies come along in while leo has great fun in the role,1.0
kids who are into this thornberry stuff will probably be in wedgie heaven anyone else who may for whatever reason be thinking about going see this movie is hereby given fair warning,1.0
who is this movie for not kids who dont need the lesson in repugnance its also not smart or barbed enough for older viewers not everyone thinks poo poo jokes are edgy,1.0
open ended composed layer upon layer talk her is cinephiles feast an invitation countless interpretations,1.0
with spy kids 2 the island lost dreams the spy kids franchise establishes itself as durable part the movie landscape james bond series for kids,1.0
oedekerk mugs mercilessly the genuinely funny jokes are few far between,1.0
resurrection has the dubious distinction being really bad imitation the really bad blair witch project,1.0
the acting is amateurish the cinematography is atrocious the direction is clumsy the writing is insipid the violence is at once luridly graphic laughably unconvincing,1.0
moving weighty depiction one familys attempts heal after the death child,1.0
science fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left,1.0
depending upon your reaction this movie you may never again be able look at red felt sharpie pen without disgust thrill or the giggles,1.0
la cinta comienza intentando ser un drama rápidamente se transforma en una comedia y termina por ser una parodia absolutamente predecible,1.0
watching the chemistry between freeman judd however almost makes this movie worth seeing almost,1.0
thoroughly unoriginal but fast paced entertaining genre b flick,1.0
dumb movie with dumb characters doing dumb things you have be really dumb not see where this is going,1.0
devastatingly direct the heart the matter demonstrating that there is no easy walk toward peace in region with such strong conflicting traditions,1.0
modest messy metaphysical thriller offering more questions than answers,1.0
heartfelt understated occasionally heavy handed slice heartland,1.0
mostly goldbacher just lets her complicated characters be unruly confusing through it all human,1.0
lets issue moratorium effective immediately on treacly films about inspirational prep school professors the children they so heartwarmingly motivate,1.0
how do you make movie with depth about man who lacked any on the evidence before us the answer is clear not easily in the end not well enough,1.0
treats potentially explosive set up with adult reflection thoughtfulness,1.0
theres some good material in their story about retail clerk wanting more out life but the movie too often spins its wheels with familiar situations repetitive scenes,1.0
most the storylines feel like time fillers between surf shots the movie is not horrible but you can see mediocre cresting on the next wave,1.0
i cant say this enough this movie is about an adult male dressed in pink jammies,1.0
majidi makes us think twice about immigrants we see around us every day,1.0
not the kind film that will appeal mainstream american audience but there is certain charm about the film that makes it suitable entry into the fest circuit,1.0
but this is lohmans film her performance moves between heartbreak rebellion as she continually tries accommodate fit in gain the unconditional love she seeks,1.0
this tenth feature is big deal indeed at least the third best maybe even notch above the previous runner up nicholas meyers star trek vi the undiscovered country,1.0
the movie while beautiful feels labored with hint the writing exercise about it,1.0
broomfields style journalism is hardly journalism at all even those with an avid interest in the subject will grow impatient,1.0
neither the funniest film that eddie murphy nor robert de niro has ever made showtime is nevertheless efficiently amusing for good while before it collapses into exactly the kind buddy cop comedy it set out lampoon anyway,1.0
its always disappointing when documentary fails live up or offer any new insight into its chosen topic unfortunately thats precisely what arthur dongs family fundamentals does,1.0
any chekhov is better than no chekhov but it would be shame if this was your introduction one the greatest plays the last ### years,1.0
at best cletis tout might inspire trip the video store in search better movie experience,1.0
niccol the filmmaker merges his collaborators symbolic images with his words insinuating for example that in hollywood only god speaks the press,1.0
it treats us beautiful insights tragic struggles that swell the heart make us feel genuine empathy for two people embracing the truth amidst pack lies,1.0
completely creatively stillborn executed in manner that im not sure could be single iota worse soulless hunk exploitative garbage,1.0
not stereotype is omitted nor cliché left unsaid,1.0
this ## minute film does have some exciting scenes but its tad slow,1.0
the overall result is an intelligent realistic portrayal testing boundaries,1.0
mr jacobis recitation is illustrated with rush sensuous nature imagery beautifully photographed by mr cox hans sonneveld underscored with lush soundtrack by paul grabowsky,1.0
the acting is uniformly excellent with kyra sedgwick fairuza balk in particular deserving be singled out for praise,1.0
who needs mind bending drugs when they can see this the final part the qatsi trilogy directed by godfrey reggio with music by philip glass,1.0
rare birds tries force its quirkiness upon the audience,1.0
baffling misfire possibly the weakest movie woody allen has made in the last twenty years,1.0
it all drags on so interminably its like watching miserable relationship unfold in real time,1.0
reminiscent david mamets elaborate screen bluffs only livelier more playful,1.0
the cast collectively successful example the lovable loser protagonist shows deft comic timing,1.0
if you love motown music youll love this documentary,1.0
provides very moving revelatory footnote the holocaust,1.0
stephen rea aidan quinn alan bates play desmonds legal eagles when joined by brosnan the sight this grandiloquent quartet lolling in pretty irish settings is pleasant enough thing tis,1.0
the verdict two bodies hardly laugh between them,1.0
minority report is exactly what the title indicates report,1.0
reno delivers monologue that manages incorporate both the horror the absurdity the situation in well balanced fashion,1.0
inside the films conflict powered plot there is decent moral trying get out but its not that its the tension that keeps you in your seat affleck jackson are good sparring partners,1.0
the movie is desperate miscalculation it gives poor dana carvey nothing do that is really funny then expects us laugh because he acts so goofy all the time,1.0
the most audacious outrageous sexually explicit psychologically probing pure libido film the year has arrived from portugal,1.0
one hour photo offers very interesting snapshot some decidedly modern pathologies suburban alienation the illusions generated by the advent the photographic image,1.0
it showcases carveys talent for voices but not nearly enough not without taxing every drop ones patience get the good stuff,1.0
it is best appreciated as an immersion in three dimensional toyland outfitted with enough whimsical gadgetry fill thousand playrooms,1.0
children may not understand everything that happens im not sure even miyazaki himself does but they will almost certainly be fascinated undoubtedly delighted,1.0
the problem is not that the movie hits so close home so much as that it hits close home while engaging in such silliness as that snake down the throat business the inevitable shot schwarzenegger outrunning fireball,1.0
nothing more than an amiable but unfocused bagatelle that plays like loosely connected string acting workshop exercises,1.0
the films sense imagery gives it terrible strength but its propelled by the acting,1.0
focuses on joans raging hormones sledgehammers the audience with spanish inquisitions about her madness so much that i became mad that i wasted ### minutes 9 ## on this ##st century torture device,1.0
chance see three splendid actors turn larky chase movie into an emotionally satisfying exploration the very human need be somebody belong somebody,1.0
the title helpfully offers the most succinct review it youll read anywhere,1.0
for all its technical virtuosity the film is so mired in juvenile near xenophobic pedagogy that its enough make one pine for the day when godard can no longer handle the rigors filmmaking,1.0
bit downer little over dramatic at times but this is beautiful film for people who like their romances have that french realism,1.0
the waterlogged script plumbs uncharted depths stupidity incoherence sub sophomoric sexual banter,1.0
this slight slice l life is distinguished by two fine subtle performances,1.0
for all the wit hoopla festival in cannes offers rare insight into the structure relationships,1.0
fresh faced big hearted frequently funny thrill ride for the kiddies with enough eye candy cheeky wit keep parents away from the concession stand,1.0
making such tragedy the backdrop love story risks trivializing it though chouraqui no doubt intended the film affirm loves power help people endure almost unimaginable horror,1.0
the film is not especially dynamic but it brims with insightful poignant memories from survivors,1.0
theres no denying how nice it is see veteran actors bob hoskins michael caine helen mirren interacting with each other on screen,1.0
vaguely interesting but its just too too much,1.0
between bedroom scenes viewers may find themselves wishing they could roll over take nap,1.0
great fun both for sports aficionados for ordinary louts whose idea exercise is climbing the steps stadium seat megaplex,1.0
great script brought down by lousy direction same guy with both hats big mistake,1.0
this is not put too fine point on it swashbuckler costume drama if you love that old story form you will be in old fogy heaven as it is nearly perfect example genre that died out years ago,1.0
like think the film as local hero for kids as the boy has adapt from his urban kid lifestyle the slow simple ways generations before will he do it will it work out can love overcome,1.0
bisset still commands the screen as the graceful outspoken frances,1.0
for its seriousness high literary aspirations stunning acting the film can only be applauded,1.0
tsai has well deserved reputation as one the cinema worlds great visual stylists in this film every shot enhances the excellent performances,1.0
lazy miserable smug this is one the biggest disappointments the year,1.0
the story that emerges has elements romance tragedy even silent movie comedy,1.0
as underwater ghost stories go below casts its spooky net out into the atlantic ocean spits it back grizzled charred somewhere northwest the bermuda triangle,1.0
i dont even care that theres no plot in this antonio banderas lucy liu faceoff its still terrible,1.0
in its understanding often funny way it tells story whose restatement is validated by the changing composition the nation,1.0
the film would work much better as video installation in museum where viewers would be free leave immediately,1.0
city by the sea is gritty police thriller with all the dysfunctional family dynamics one could wish for but how it washed out despite all that is the projects prime mystery,1.0
there is simply not enough interest onscreen sustain its seventy minute running time,1.0
the major problem with windtalkers is that the bulk the movie centers on the wrong character,1.0
apparently designed as reverie about memory regret but the only thing youll regret is remembering the experience sitting through it,1.0
the level maturity displayed by this ## year old first time feature director is astonishing considering her inexperience her subject matter,1.0
stage director sam mendes showcases tom hanks as depression era hit man in this dark tale revenge,1.0
the movie is little tired maybe the original inspiration has run its course,1.0
though this film can be clumsy its ambitions are equally admirably uncommercial,1.0
being author wells great grandson youd think filmmaker simon wells would have more reverence for the material but this costly dud is far cry from either the book or the beloved film,1.0
its certainly laudable that the movie deals with hot button issues in comedic context but barbershop is not as funny as it should be,1.0
deliriously funny fast loose accessible the uninitiated full surprises,1.0
unlike his directorial efforts la femme nikita the professional the transporter lacks bessons perspective as storyteller,1.0
its hard know whether or not recommend this film because for every thing it does right theres at least one occasionally two things it gets ever so wrong,1.0
the actors are all charged up by their roles it rubs off on us you walk out with caffeine doughnut high,1.0
naipaul fans may be disappointed those who are not acquam noted with the authors work on the other hand may fall fast asleep,1.0
it may work as jaunt down memory lane for teens young adults who grew up on televised scooby doo shows or reruns,1.0
its mildly amusing but i certainly cant recommend it,1.0
the country bears has no scenes that will upset or frighten young viewers unfortunately there is almost nothing in this flat effort that will amuse or entertain them either,1.0
much as we might be interested in gratuitous sexualization haneke has different objective in mind namely the implications our craving for fake stimulation,1.0
nothing in waking up in reno ever inspired me think its inhabitants as anything more than markers in screenplay,1.0
juliette binoches sand is vivacious but its hard sense that powerhouse ##th century prose behind her childlike smile,1.0
the noble tradition men in drag hits an all time low in sorority boys whose makers apparently believe that womens clothing can cover up any deficiency in acting writing or direction,1.0
the film falls short on tension eloquence spiritual challenge things that have made the original new testament stories so compelling for ## centuries,1.0
just like the deli sandwich lots ham lots cheese with sickly sweet coating disguise its excrescence until just after or during consumption its second half,1.0
while this one gets off with good natured warning future lizard endeavors will need adhere more closely the laws laughter,1.0
seldom has movie so closely matched the spirit man his work,1.0
its deep sixed by compulsion catalog every bodily fluids gag in theres something about mary devise parallel clone gag,1.0
aside from being the funniest movie the year simone andrew niccols brilliant anti hollywood satire has wickedly eccentric enchantment it,1.0
morose little soap opera about three vapid insensitive people who take turns hurting each other its feature length adaptation one those can this marriage be saved columns from ladies home journal,1.0
the spark special anime magic here is unmistakable hard resist,1.0
love for films shines through each frame the era is recreated with obvious affection scored perfection with some tasty boogaloo beats,1.0
speaking in terms spectacle craft romance humor its the movie beat this summer,1.0
imamura has said that warm water under red bridge is poem the enduring strengths women it may also be the best sex comedy about environmental pollution ever made,1.0
huppert gives erika persona that is so intriguing that you find yourself staring hypnotically at her trying understand her wondering if shell crack,1.0
too timid bring sense closure an ugly chapter the twentieth century,1.0
there is no substitute for on screen chemistry when friel pulls the strings that make williams sink into melancholia the reaction in williams is as visceral as gut punch,1.0
jonathan parkers bartleby should have been the be all end all the modern office anomie films,1.0
light the candles bring out the cake dont fret about the calories because theres precious little substance in birthday girl its simply surprisingly nice light treat,1.0
its like big chill reunion the baader meinhof gang only these guys are more harmless pranksters than political activists,1.0
it is too bad that this likable movie is not more accomplished the actors try hard but come off too amateurish awkward,1.0
the fight scenes are fun but it grows tedious,1.0
cheerful enough but imminently forgettable rip off bessons earlier work,1.0
typifies the pros cons the films that india churns out,1.0
the film is ultimately about as inspiring as hallmark card,1.0
pacino is brilliant as the sleep deprived dormer his increasing weariness as much existential as it is physical,1.0
attals hang ups surrounding infidelity are so old fashioned dare i say outdated its wonder that he couldnt have brought something fresher the proceedings simply by accident,1.0
those you who are not an eighth grade girl will most likely doze off during this one,1.0
secretary is owned by its costars spader gyllenhaal maggie g makes an amazing breakthrough in her first starring role eats up the screen,1.0
the message becomes the savior for the country bears an equal parts silly sweet tale that wears its great big ol heart on its grizzly sized sleeve,1.0
an interesting psychological game cat mouse three dimensional characters believable performances all add up satisfying crime drama,1.0
the merchant ivory team continues systematically destroy everything we hold dear about cinema only now its begun split up so that it can do even more damage,1.0
impossible as it may sound this films heart is even more embracing than monty if only because it accepts nasty behavior severe flaws as part the human condition,1.0
this is one jagloms most accessible genuinely enjoyable films,1.0
the movie is essentially series fleetingly interesting actors moments,1.0
rock solid gangster movie with fair amount suspense intriguing characters bizarre bank robberies plus heavy dose father son dynamics,1.0
why sit through crummy wannabe hip crime comedy that refers incessantly old movies when you could just rent those movies instead let alone seek out respectable new one,1.0
if much me without you strikes familiar chord it also intelligently captures the difficulties that can disrupt even close friendship,1.0
national lampoons van wilder could be the worst thing come out national lampoon since class reunion,1.0
im not sure which half dragonfly is worse the part where nothings happening or the part where somethings happening but its stupid,1.0
the huskies are beautiful the border collie is funny the overall feeling is genial decent,1.0
as it stands theres some fine sex onscreen some tense arguing but not whole lot more,1.0
somewhat crudely constructed but gripping questing look at person so racked with self loathing he becomes an enemy his own race,1.0
cellophane pop remake the punk classic ladies gentlemen the fabulous stains crossroads is never much worse than bland or better than inconsequential,1.0
the success undercover brother is found in its ability spoof both black white stereotypes equally,1.0
theres enough melodrama in this magnolia primavera make pta proud yet director muccinos characters are less worthy puccini than they are daytime television,1.0
the boys sparring like the succession blows dumped on guei wears down the storys more cerebral likable plot elements,1.0
its hard say who might enjoy this are there tolstoy groupies out there its dark tragic lets the business the greedy talent agents get in the way saying something meaningful about facing death,1.0
when the fire burns out weve only come face face with couple dragons thats where the film ultimately fails,1.0
few films capture so perfectly the hopes dreams little boys on baseball fields as well as the grown men who sit in the stands,1.0
blade ii is as estrogen free as movies get so you might want leave your date behind for this one or shes gonna make you feel like you owe her big time,1.0
this film puts wang at the forefront chinas sixth generation film makers,1.0
like coming into long running well written television series where youve missed the first half dozen episodes probably wont see the next six,1.0
there is not one moment in the film that surprises or delights,1.0
no doubt the star everyone else involved had their hearts in the right place where their heads were is anyones guess,1.0
its not great monster movie but if youve paid matinee price bought big tub popcorn theres guilty fun be had here chomp chomp,1.0
an uncluttered resonant gem that relays its universal points without lectures or confrontations,1.0
spider man is about growing strange hairs getting more mature body finding it necessary hide new secretions from the parental units,1.0
what lifts the film high above run the filth gangster flicks is its refusal recognise any the signposts as if discovering way through the bitter end without map,1.0
although barbershop boasts some todays hottest hippest acts from the world television music stand up comedy this movie strangely enough has the outdated swagger shameless ‘##s blaxploitation shuck jive sitcom,1.0
an average coming age tale elevated by the wholesome twist pesky mother interfering during her sons discovery his homosexuality,1.0
enigma is the kind engaging historical drama that hollywood appears have given up on in favor sentimental war movies in the vein we were soldiers,1.0
the film takes the materials human tragedy dresses them in lovely costumes southern california locations star power,1.0
its an engrossing thought provoking examination the overriding will power the morality its application,1.0
subtle humorous illuminating study politics power social mobility,1.0
we can see the wheels turning we might resent it sometimes but this is still nice little picture made by bright friendly souls with lot good cheer,1.0
half it is composed snappy patter pseudo sophisticated cultural observations while the remainder would be more at home on daytime television serial,1.0
narrative may be looser than baby teeth but amys orgasm is such verbosely in depth exploration female sensuality identity,1.0
fails in making this character understandable in getting under her skin in exploring motivation well before the end the film grows as dull as its characters about whose fate it is hard care,1.0
benefits from strong performance from zhao but its dong jies face you remember at the end,1.0
as elegantly crafted as it often is andersons movie is essentially one trick pony that hampered by an undeveloped script ultimately pulls up lame,1.0
the plot is paper thin the characters arent interesting enough watch them go about their daily activities for two whole hours,1.0
if you are into splatter movies then you will probably have reasonably good time with the salton sea,1.0
dreamworks is be commended for attempting develop form that with the inauguration the oscar for best animated feature can only benefit from such tinkering,1.0
the minor figures surrounding bobby form gritty urban mosaic,1.0
its not like having real film nijinsky but at least its better than that eponymous #### biopic that used soap in the places where the mysteries lingered,1.0
if hill is not quite his generations don siegel or robert aldrich its because theres no discernible feeling beneath the chest hair its all bluster cliché,1.0
showtimes starry cast could be both an asset detriment those who trek the plex predisposed like it probably will enjoy themselves but ticket buyers with great expectations will wind up as glum as mr de niro,1.0
droll bitchy frolic which pokes fun at the price popularity small town pretension in the lone star state,1.0
the kids just too bratty for sympathy as the film grows its finale his little changes ring hollow,1.0
da primeira seqüência de luta à piada que encerra história o espectador jamais desgruda os olhos da tela saindo do cinema com sensação de que gastou bem seu dinheiro,1.0
smith simply celebrates the universal desire fashion our homes for our needs desires,1.0
the sum all fears pretends be serious exploration nuclear terrorism but its really nothing more than warmed over cold war paranoia,1.0
theres scientific law be discerned here that producers would be well heed mediocre movies start drag as soon as the action speeds up when the explosions start they fall pieces,1.0
well paced satisfying little drama that deserved better than ‘direct video release,1.0
lot like the imaginary sport it projects onto the screen loud violent mindless,1.0
largely this is movie that also does it by the numbers,1.0
as chick flicks go this one is pretty miserable resorting string pulling rather than legitimate character development intelligent plotting,1.0
the large frame imax camera lends itself beautifully filming the teeming life on the reefs making this gorgeous film must for everyone from junior scientists grown up fish lovers,1.0
performances are potent the womens stories are ably intercut involving,1.0
peter jackson has done the nearly impossible he has improved upon the first taken it step further richer deeper what jackson has done is proven that no amount imagination no creature no fantasy story no incredibly outlandish scenery,1.0
twenty years later e t is still cinematic touchstone,1.0
